elapsed_ms,ax,ay,az
76976,698,1052,1505
76986,662,987,1529
77035,444,196,1651
77044,491,300,1616
77074,577,861,1584
77129,686,775,1618
77154,755,852,1601
77194,729,953,1564
77234,701,948,1540
77274,799,930,1586
77314,691,924,1644
77354,748,730,1731
77394,610,991,1692
77434,587,407,1696
77506,660,253,1520
77518,637,325,1548
77578,547,643,1396
77627,283,705,1707
77674,178,682,1971
77685,169,423,1997
77714,335,-77,1907
77755,613,104,1882
77794,723,456,1510
77834,-214,367,2275
77906,504,-265,1352
77916,543,-67,1443
77954,575,673,1785
77994,-1,296,1711
78035,331,-252,2005
78074,298,418,1223
78114,344,115,1986
78154,491,435,1754
78217,70,1099,2042
78319,1,155,2146
78326,-75,371,2287
78336,92,628,2222
78388,571,190,1654
78395,560,273,1639
78435,512,924,1819
78475,491,245,1717
78515,213,-235,2273
78556,500,315,1551
78595,324,139,1590
78636,608,434,1941
78707,473,93,1867
78716,468,145,1840
78755,326,251,1863
78796,410,89,1914
78836,488,469,1737
78875,490,479,1744
78931,572,272,1666
78999,643,269,1838
79005,621,325,1918
79058,580,568,1742
79075,600,122,1465
79151,388,-11,1724
79157,342,-276,1717
79207,490,567,1661
79235,929,288,1442
79275,-138,-477,2128
79316,539,426,1602
79356,467,275,1831
79396,345,355,1919
79436,587,420,1738
79507,591,537,1701
79516,573,581,1709
79555,426,388,1764
79608,376,208,1803
79663,453,73,1824
79677,462,106,1813
79729,466,259,1821
79755,474,320,1824
79795,467,163,1770
79835,489,207,1820
79900,503,155,1805
79916,475,163,1756
79955,531,250,1842
79995,527,225,1890
80035,653,577,1648
80075,79,-99,2043
80116,369,112,1780
80156,535,-27,1807
80196,589,98,1801
80236,543,403,1801
80287,498,307,1775
80338,428,349,1800
80356,465,323,1839
80397,508,382,1728
80468,503,225,1701
80476,509,227,1714
80517,585,330,1843
80556,590,395,1968
80629,86,223,1826
80638,214,579,1579
80710,859,170,1997
80716,975,287,1841
80757,823,368,1534
80829,354,31,1777
80837,420,490,1668
80877,469,148,2103
80917,618,421,1677
80956,145,-274,2227
80996,738,576,1725
81037,520,415,1485
81100,236,467,1751
81126,226,387,1888
81157,348,252,1860
81196,364,134,1749
81258,199,-168,1916
81319,187,385,1717
81361,365,745,1541
81370,267,-316,1566
81412,204,7,2195
81467,747,37,1704
81476,758,126,1580
81549,369,-749,1955
81558,455,-115,1870
81596,572,743,1784
81636,510,172,1981
81677,470,33,1541
81716,132,336,1932
81756,332,-323,1639
81796,520,345,1880
81837,280,145,1703
81901,577,318,1498
81916,475,128,1563
81957,245,191,1888
82020,195,189,1799
82031,175,64,1762
82151,362,26,1672
82159,333,-104,1549
82167,272,-14,1623
82197,202,-95,1925
82237,324,-140,1914
82318,692,687,1692
82327,737,704,1601
82357,494,-725,1658
82397,362,555,1936
82437,481,187,1546
82478,408,-21,1794
82517,399,419,1844
82557,416,201,1906
82598,453,261,1769
82637,443,317,1746
82738,409,236,1773
82743,407,246,1793
82799,412,189,1765
82850,330,352,1841
82858,352,396,1822
82877,391,370,1794
82918,473,332,1777
82957,460,391,1774
82997,386,362,1803
83038,381,240,1805
83108,387,326,1772
83118,382,343,1791
83157,404,365,1769
83198,409,409,1766
83237,391,298,1788
83278,381,383,1803
83317,386,387,1788
83434,384,394,1790
83449,382,333,1778
83500,370,362,1807
83508,372,354,1800
83517,377,369,1807
83588,371,352,1787
83598,363,331,1776
83638,374,292,1800
83677,380,294,1804
83717,356,277,1802
83757,375,270,1805
83797,406,257,1831
83837,363,274,1766
83911,337,215,1785
83918,349,243,1771
83958,333,208,1801
83997,330,214,1831
84042,345,295,1791
84099,281,303,1802
84150,382,690,1743
84161,423,546,1691
84198,452,-438,1771
84238,340,-717,2039
84310,319,-476,1627
84318,241,-218,1820
84349,287,1457,1853
84398,528,-616,1557
84438,382,605,1834
84478,407,312,1906
84518,641,-175,1701
84558,438,1032,1789
84598,428,330,1662
84639,303,10,1910
84743,349,402,1838
84749,369,368,1864
84759,333,425,1769
84789,333,437,1775
84838,452,211,1746
84898,351,111,2011
84909,344,250,1917
84949,340,180,1715
84999,1195,700,2239
85043,396,-210,1717
85109,168,139,1837
85121,100,134,1916
85211,203,492,1642
85218,261,545,1556
85238,191,645,1395
85278,132,-193,2590
85318,739,396,1588
85358,425,225,1704
85399,-252,720,1806
85438,105,-605,1603
85504,761,428,1558
85518,771,-3,1522
85558,279,-1126,2209
85599,611,430,1592
85639,492,623,1916
85701,447,281,1801
85711,476,393,1808
85762,118,209,2211
85819,586,63,1679
85862,563,-193,1649
85920,445,-37,1715
85928,446,14,1725
85960,483,127,1688
85990,399,244,1702
86039,289,84,1810
86080,261,-24,1776
86119,-203,-185,2342
86150,114,318,1976
86200,246,-425,1425
86239,316,191,2353
86300,590,20,1392
86309,359,198,1744
86359,177,209,1675
86411,71,224,1629
86450,759,402,1840
86501,612,260,1331
86509,410,-74,1859
86559,614,357,1656
86600,525,781,1597
86630,546,314,1844
86705,362,411,1668
86712,349,507,1661
86750,347,751,1761
86800,444,539,1751
86840,425,-52,1833
86880,377,366,1824
86920,198,481,1851
86950,398,499,1839
87000,354,57,1537
87053,318,454,2015
87100,500,259,1792
87151,448,340,1780
87161,432,505,1809
87212,317,170,1902
87230,377,249,1797
87280,-22,-423,2128
87320,391,795,1591
87360,362,224,1837
87400,571,555,1781
87440,537,475,1765
87510,460,204,1868
87520,406,316,1872
87549,384,36,1650
87600,368,295,1740
87630,413,14,1621
87670,388,30,1901
87761,672,138,1699
87770,645,67,1604
87821,291,-81,1870
87873,484,25,1736
87913,364,34,1961
87923,390,28,1881
87950,486,246,1791
87991,521,376,1737
88031,503,195,1855
88071,497,-35,1803
88111,306,51,1884
88151,412,201,1590
88201,389,196,1838
88230,586,34,1749
88310,241,-340,1891
88320,206,-332,1814
88350,293,157,1992
88390,594,292,1676
88473,337,-100,1812
88482,358,-22,1780
88533,300,154,1868
88574,395,337,1812
88593,436,263,1797
88631,475,99,1804
88670,473,88,1820
88722,300,-20,1880
88750,376,528,1802
88790,392,-3,1845
88830,423,309,1654
88870,323,150,1825
88910,476,61,1666
88950,199,114,1966
88990,340,351,1887
89030,538,418,1782
89096,303,102,1814
89111,318,56,1899
89151,452,164,1858
89191,575,194,1728
89240,162,-129,1981
89270,585,55,1599
89311,484,26,1934
89382,436,327,1694
89392,401,502,1701
89462,243,-91,1796
89543,141,285,2050
89554,906,256,1586
89556,920,231,1588
89643,205,-596,1948
89647,343,-364,1850
89671,527,0,1523
89711,245,222,1885
89751,509,234,1995
89791,724,283,1708
89831,723,539,1605
89906,638,570,1295
89911,501,646,1459
89951,520,-20,1894
89992,412,368,1887
90031,354,-9,1730
90071,386,281,1857
90143,309,-358,1914
90152,253,-142,1939
90333,555,205,1854
90343,530,281,1837
90351,546,418,1706
90361,561,591,1599
